iteration,a,b,c,quality
35,580555710398.0382,0.07203456016382187,-271597937404.1881,5.470760530092838e+25
36,580555710398.0376,0.07143652112047887,-271597937404.18823,3.2116614490169613e+25
37,580555710398.0374,0.07118438444699067,-271597937404.18808,2.4050444683903788e+25
38,580555710398.0375,0.07134321652848914,-271597937404.18753,3.630547951051281e+25
39,580555710398.038,0.07182048695931609,-271597937404.1867,4.622304844129812e+25
40,580555710398.0386,0.0724028463297012,-271597937404.18582,3.9659112309161836e+25
41,580555710398.0391,0.07282958225435317,-271597937404.1851,2.6553271733930478e+25
42,580555710398.0392,0.07291086954900708,-271597937404.18472,2.491676676609556e+25
43,580555710398.039,0.0726347987463806,-271597937404.18472,3.45439760841858e+25
44,580555710398.0385,0.07216708038741862,-271597937404.1849,3.747578152797279e+25
45,580555710398.0381,0.0717437643007592,-271597937404.1851,2.8965354461601953e+25
46,580555710398.0378,0.0715495573039866,-271597937404.18506,2.3595025635478296e+25
47,580555710398.038,0.07164862686935762,-271597937404.18475,2.7969941607616776e+25
48,580555710398.0383,0.0719742921874186,-271597937404.18423,3.2750477371719574e+25
49,580555710398.0387,0.07236239903425191,-271597937404.1837,3.009978090936323e+25
50,580555710398.039,0.0726224194418466,-271597937404.1833,2.4536521953096417e+25
51,580555710398.039,0.07263302473763096,-271597937404.18314,2.4492706096147045e+25
52,580555710398.0387,0.07240951729602207,-271597937404.1832,2.867879070971742e+25
53,580555710398.0383,0.072087289609453,-271597937404.18338,2.8923794913145187e+25
54,580555710398.0381,0.0718362005775533,-271597937404.1835,2.499465645960449e+25
55,580555710398.038,0.07177186417890156,-271597937404.18344,2.3767622476578113e+25
56,580555710398.0381,0.07190919812378724,-271597937404.1832,2.629660176633494e+25
57,580555710398.0383,0.07216488923797511,-271597937404.18286,2.7419697491824607e+25
58,580555710398.0386,0.0724004895666454,-271597937404.18256,2.525481108980235e+25
59,580555710398.0387,0.07249355232893513,-271597937404.18237,2.3595630803588176e+25
60,580555710398.0386,0.0724054551267488,-271597937404.18237,2.4889788529302022e+25
61,580555710398.0383,0.07220002685604225,-271597937404.1825,2.616993320113247e+25
62,580555710398.0381,0.07199849892530802,-271597937404.18262,2.4946958270099678e+25
63,580555710398.038,0.07190714482861042,-271597937404.18265,2.361424220235129e+25
64,580555710398.038,0.07196413192910395,-271597937404.18253,2.4320514725002267e+25
65,580555710398.0381,0.07212689353218822,-271597937404.1823,2.528071235432511e+25
66,580555710398.0382,0.07229896915754085,-271597937404.1821,2.4635465237236915e+25
67,580555710398.0383,0.07238397205882328,-271597937404.18198,2.364333062857762e+25
68,580555710398.0383,0.07234087767323237,-271597937404.18198,2.399337560502471e+25
69,580555710398.0382,0.07220563655362922,-271597937404.18207,2.470859961499477e+25
70,580555710398.0381,0.07206376141983209,-271597937404.18216,2.430067918756041e+25
71,580555710398.038,0.0719960123428332,-271597937404.1822,2.362281574275159e+25
72,580555710398.038,0.0720338782296897,-271597937404.18213,2.3877315794242102e+25
73,580555710398.0381,0.07214685402219669,-271597937404.182,2.434142089955194e+25
74,580555710398.0382,0.0722636241281587,-271597937404.1819,2.4054975885061902e+25
75,580555710398.0382,0.07231522328880512,-271597937404.18182,2.360950974251028e+25
76,580555710398.0382,0.07227641991119146,-271597937404.18185,2.3802292044387835e+25
77,580555710398.0381,0.07217859317107919,-271597937404.18192,2.4102136220168387e+25
78,580555710398.038,0.07208580387327364,-271597937404.18198,2.386429786919033e+25
79,580555710398.038,0.07205299282040933,-271597937404.18198,2.359570064359677e+25
80,580555710398.038,0.07209439047322998,-271597937404.18192,2.3773760508907116e+25
81,580555710398.0381,0.07217864314734926,-271597937404.18182,2.393640140394318e+25
82,580555710398.0382,0.07225065991625504,-271597937404.18173,2.3739757524186718e+25
83,580555710398.0382,0.07226685036045494,-271597937404.1817,2.35957177024384e+25
84,580555710398.0382,0.07222199015303857,-271597937404.18173,2.3747749345832756e+25
85,580555710398.0381,0.07214980594671758,-271597937404.1818,2.3817159680486317e+25
86,580555710398.0381,0.07209813403608992,-271597937404.18182,2.365663895278647e+25
87,580555710398.0381,0.07209753281623438,-271597937404.18182,2.3606153035742183e+25
88,580555710398.0381,0.07214382548494253,-271597937404.18176,2.3726047159915125e+25
89,580555710398.0381,0.07220348166353506,-271597937404.1817,2.372820342795113e+25
90,580555710398.0381,0.07223695318364279,-271597937404.18167,2.361339447121595e+25
91,580555710398.0381,0.07222478150877963,-271597937404.18167,2.3619339502922462e+25
92,580555710398.0381,0.07217904408411507,-271597937404.1817,2.3699127188903187e+25
93,580555710398.0381,0.07213279846682458,-271597937404.18173,2.3663727515303234e+25
94,580555710398.0381,0.07211642212568078,-271597937404.18173,2.359585898071336e+25
95,580555710398.0381,0.07213797668480348,-271597937404.1817,2.3631308525814946e+25
96,580555710398.0381,0.07217981737683332,-271597937404.18167,2.36688102291199e+25
97,580555710398.0381,0.07221220458630614,-271597937404.18164,2.3622159930564544e+25
98,580555710398.0381,0.07221414273348123,-271597937404.18164,2.3596153682524575e+25
99,580555710398.0381,0.07218706399908814,-271597937404.18167,2.3634819098121666e+25
100,580555710398.0381,0.07215206723478343,-271597937404.1817,2.3638766497812573e+25
101,580555710398.0381,0.07213375591707438,-271597937404.1817,2.3600337930758735e+25
102,580555710398.0381,0.07214312944396975,-271597937404.1817,2.3603868762973987e+25
103,580555710398.0381,0.0721712446071773,-271597937404.18167,2.3629518764287948e+25
104,580555710398.0381,0.07219695025472342,-271597937404.18164,2.3614350375006088e+25
105,580555710398.0381,0.07220251658016512,-271597937404.18164,2.359452188684853e+25
106,580555710398.0381,0.07218585921219574,-271597937404.18164,2.36101961783214e+25
107,580555710398.0381,0.07216076645038302,-271597937404.18167,2.3617856598577146e+25
