CPI	Low	High
77.8	0.0	0.0
78.9	0.9934618630108867	0.0
80.1	0.986329349931854	0.0
81.0	0.9809799651225792	0.0
81.8	0.976224956403224	0.0
82.7	0.9708755715939495	0.0
82.7	0.9708755715939495	0.0
83.3	0.967309315054433	0.0
84.0	0.9631486824249973	0.0
84.8	0.958393673705642	0.0
85.5	0.9542330410762062	0.0
86.3	0.949478032356851	0.0
87.0	0.9453173997274152	0.0
87.9	0.9399680149181406	0.0
88.5	0.9364017583786243	0.0
89.1	0.9328355018391079	0.0
89.8	0.928674869209672	0.0
90.6	0.9239198604903169	0.0
91.6	0.9179760995911229	0.0
92.3	0.913815466961687	0.0
93.2	0.9084660821524125	0.0
93.4	0.9072773299725736	0.0
93.7	0.9054942017028155	0.0
94.0	0.9037110734330572	0.0
94.3	0.901927945163299	0.0
94.6	0.9001448168935409	0.0
94.5	0.9007391929834603	0.0
94.9	0.8983616886237826	0.0
95.8	0.893012303814508	0.0
97.0	0.8858797907354753	0.0
97.5	0.8829079102858782	0.0
97.7	0.8817191581060395	0.0
97.9	0.8805304059262006	0.0
98.2	0.8787472776564426	0.0
98.0	0.8799360298362813	0.0
97.6	0.8823135341959589	0.0
97.8	0.88112478201612	0.0
97.9	0.8805304059262006	0.0
97.9	0.8805304059262006	0.0
98.6	0.8763697732967649	0.0
99.2	0.8728035167572485	0.0
99.5	0.8710203884874902	0.0
99.9	0.8686428841278127	0.0
100.2	0.8668597558580545	0.0
100.7	0.8638878754084575	0.0
101.0	0.8621047471386992	0.0
101.2	0.8609159949588605	0.0
101.3	0.860321618868941	0.0
101.9	0.8567553623294246	0.0
102.4	0.8537834818798277	0.0
102.6	0.8525947296999888	0.0
103.1	0.8496228492503919	0.0
103.4	0.8478397209806336	0.0
103.7	0.8460565927108755	0.0
104.1	0.8436790883511979	0.0
104.5	0.8413015839915202	0.0
105.0	0.8383297035419233	0.0
105.3	0.836546575272165	0.0
105.3	0.836546575272165	0.0
105.3	0.836546575272165	0.0
105.5	0.8353578230923262	0.0
106.0	0.8323859426427292	0.0
106.4	0.8300084382830516	0.0
106.9	0.8270365578334546	0.0
107.3	0.824659053473777	0.0
107.6	0.8228759252040189	0.0
107.8	0.8216871730241799	0.0
108.0	0.8204984208443412	0.0
108.3	0.818715292574583	0.0
108.7	0.8163377882149055	0.0
109.0	0.8145546599451472	0.0
109.3	0.812771531675389	0.0
109.6	0.8109884034056308	0.0
109.3	0.812771531675389	0.0
108.8	0.815743412124986	0.0
108.6	0.8169321643048248	0.0
108.9	0.8151490360350666	0.0
109.5	0.8115827794955502	0.0
109.5	0.8115827794955502	0.0
109.7	0.8103940273157115	0.0
110.2	0.8074221468661145	0.0
110.3	0.8068277707761949	0.0
110.4	0.8062333946862756	0.0
110.5	0.8056390185963562	0.0
111.2	0.8014783859669206	0.0
111.6	0.7991008816072429	0.0
112.1	0.7961290011576458	0.0
112.7	0.7925627446181295	0.0
113.1	0.7901852402584518	0.0
113.5	0.7878077358987743	0.0
113.8	0.7860246076290159	0.0
114.4	0.7824583510894996	0.0
115.0	0.7788920945499832	0.0
115.3	0.777108966280225	0.0
115.4	0.7765145901903056	0.0
115.4	0.7765145901903056	0.0
115.7	0.7747314619205475	0.0
116.0	0.7729483336507892	0.0
116.5	0.7699764532011922	0.0
117.1	0.7664101966616759	0.0
117.5	0.7640326923019982	0.0
118.0	0.7610608118524013	0.0
118.5	0.7580889314028042	0.0
119.0	0.7551170509532072	0.0
119.8	0.7503620422338521	0.0
120.2	0.7479845378741744	0.0
120.3	0.747390161784255	0.0
120.5	0.7462014096044163	0.0
121.1	0.7426351530648999	0.0
121.6	0.7396632726153028	0.0
122.3	0.7355026399858671	0.0
123.1	0.7307476312665119	0.0
123.8	0.726586998637076	0.0
124.1	0.7248038703673179	0.0
124.4	0.7230207420975596	0.0
124.6	0.7218319899177209	0.00027442085953716545
125.0	0.7194544855580433	0.0023126493141674607
125.6	0.7158882290185269	0.005369991996112831
125.9	0.7141051007487685	0.006898663337085589
126.1	0.7129163485689298	0.007917777564400664
127.4	0.7051894593999776	0.014542020041949088
128.0	0.7016232028604612	0.01759936272389446
128.7	0.6974625702310255	0.021166262519497367
128.9	0.6962738180511866	0.022185376746812587
129.2	0.6944906897814285	0.023714048087785197
129.9	0.6903300571519926	0.02728094788338825
130.4	0.6873581767023956	0.029828733451676085
131.6	0.6802256636233629	0.03594341881556683
132.7	0.6736875266342495	0.04154854706580003
133.5	0.6689325179148942	0.04562500397506062
133.8	0.6671493896451359	0.04715367531603338
133.8	0.6671493896451359	0.04715367531603338
134.6	0.6623943809257808	0.05123013222529382
134.8	0.6612056287459419	0.05224924645260904
135.0	0.6600168765661032	0.05326836067992412
135.2	0.6588281243862645	0.054287474907239196
135.6	0.6564506200265868	0.05632570336186949
136.0	0.6540731156669092	0.058363931816499785
136.2	0.6528843634870705	0.059383046043814856
136.6	0.6505068591273928	0.06142127449844515
137.2	0.6469406025878764	0.06447861718039052
137.4	0.6457518504080376	0.06549773140770575
137.8	0.64337434604836	0.06753595986233604
137.9	0.6427799699584406	0.06804551697599358
138.1	0.6415912177786018	0.06906463120330865
138.6	0.6386193373290049	0.07161241677159648
139.3	0.634458704699569	0.07517931656719953
139.5	0.6332699525197302	0.07619843079451462
139.7	0.6320812003398915	0.07721754502182969
140.2	0.6291093198902945	0.07976533059011752
140.5	0.6273261916205362	0.08129400193109028
140.9	0.6249486872608586	0.08333223038572057
141.3	0.622571182901181	0.08537045884035087
141.8	0.6195993024515839	0.0879182444086387
142.0	0.6184105502717452	0.08893735863595378
141.9	0.6190049263616646	0.08842780152229623
142.6	0.6148442937322288	0.09199470131789915
143.1	0.6118724132826319	0.09454248688618698
143.6	0.6089005328330348	0.09709027245447481
144.0	0.6065230284733573	0.0991285009091051
144.2	0.6053342762935184	0.10014761513642019
144.4	0.6041455241136796	0.1011667293637354
144.4	0.6041455241136796	0.1011667293637354
144.8	0.601768019754002	0.1032049578183657
145.1	0.5999848914842438	0.10473362915933832
145.7	0.5964186349447275	0.10779097184128368
145.8	0.5958242588548079	0.10830052895494137
145.8	0.5958242588548079	0.10830052895494137
146.2	0.5934467544951305	0.11033875740957151
146.7	0.5904748740455334	0.11288654297785934
147.2	0.5875029935959365	0.11543432854614719
147.4	0.5863142414160976	0.1164534427734624
147.5	0.5857198653261783	0.11696299988711994
148.0	0.5827479848765812	0.11951078545540778
148.4	0.5803704805169035	0.12154901391003807
149.0	0.5768042239773872	0.12460635659198344
149.4	0.5744267196177095	0.12664458504661374
149.5	0.5738323435277902	0.12715414216027127
149.7	0.5726435913479515	0.12817325638758634
149.7	0.5726435913479515	0.12817325638758634
150.3	0.5690773348084349	0.13123059906953186
150.9	0.5655110782689186	0.13428794175147724
151.4	0.5625391978193216	0.13683572731976507
151.9	0.5595673173697245	0.1393835128880529
152.2	0.5577841890999665	0.14091218422902552
152.5	0.5560010608302082	0.14244085556999828
152.5	0.5560010608302082	0.14244085556999828
152.9	0.5536235564705305	0.14447908402462856
153.2	0.5518404282007725	0.14600775536560118
153.7	0.5488685477511754	0.148555540933889
